         Part Number        Quantity    Unit Cost   Unit Price      Total Cost     Total Price
            56886748              18        24.94        30.92          448.92          556.56
            62283911               7        15.50        21.11          108.50          147.77
            60410146              21        26.93        32.34          565.53          679.14
            80101956              97        23.40        28.25         2269.80         2740.25
            30174319              22        29.51        33.43          649.22          735.46
            32895121              61        28.99        32.57         1768.39         1986.77
            41555059              44        27.38        32.97         1204.72         1450.68
            44735928               9        27.18        31.76          244.62          285.84
            37413158              28        28.57        33.34          799.96          933.52
            40749682              96        14.45        19.50         1387.20         1872.00
            77086936              79        19.91        25.81         1572.89         2038.99
            61965647              88        24.88        29.03         2189.44         2554.64
            59333352              73        25.88        29.43         1889.24         2148.39
            88550476              20        21.62        24.86          432.40          497.20
            81912584              99        26.86        31.94         2659.14         3162.06
            76502369               7        12.35        16.47           86.45          115.29
            71852096              57        26.92        30.71         1534.44         1750.47
            74375297              31        12.28        18.21          380.68          564.51
            44481271              78        27.03        32.21         2108.34         2512.38
            29257517              83        10.76        13.93          893.08         1156.19
            70178351               1        19.18        24.56           19.18           24.56
            77086674              85        18.06        23.88         1535.10         2029.80
            16224831              41        11.63        16.47          476.83          675.27
            85598406              64        10.32        14.12          660.48          903.68
            58485457               5        23.64        28.18          118.20          140.90
            79195238              21        11.38        15.86          238.98          333.06
            62111634               1        16.41        19.97           16.41           19.97
            53717044              66        16.04        20.59         1058.64         1358.94
            32728517              82        15.43        19.58         1265.26         1605.56
            31641263              48        20.95        26.17         1005.60         1256.16
            40160899              46        10.83        14.53          498.18          668.38
            69855441              96        15.56        18.77         1493.76         1801.92
            35537534              60        27.18        32.16         1630.80         1929.60
            56827836              55        15.74        20.17          865.70         1109.35
            75630018              41        10.08        15.68          413.28          642.88
            58759637              78        15.20        18.21         1185.60         1420.38
            69730813              84        12.39        17.64         1040.76         1481.76
            59189425              89        22.54        27.43         2006.06         2441.27
            73638310              31        14.74        19.35          456.94          599.85
            60683021               2        18.36        23.75           36.72           47.50
            25725760              15        26.82        32.17          402.30          482.55
            43548519              44        13.50        16.95          594.00          745.80
            34092153               3        23.76        29.20           71.28           87.60
            11587650              37        10.76        14.92          398.12          552.04
            22231544              65        23.11        28.16         1502.15         1830.40
            77430412              70        29.20        34.45         2044.00         2411.50
            32945551              21        21.25        26.10          446.25          548.10
            66125098              44        22.44        28.41          987.36         1250.04
            34763532              86        15.68        21.17         1348.48         1820.62
            49996948              32        21.50        26.64          688.00          852.48
            41818150              51        13.22        18.99          674.22          968.49
            79900665              22        21.35        24.99          469.70          549.78
            34751590              46        12.60        16.52          579.60          759.92
            57630177              38        26.52        29.81         1007.76         1132.78
            28166727               8        17.58        23.34          140.64          186.72
            75724437              74        23.26        26.87         1721.24         1988.38
            86012790               1        11.18        15.75           11.18           15.75
            75529079              28        29.27        33.08          819.56          926.24
            31187804              66        20.23        25.46         1335.18         1680.36
            56411306              64        10.97        16.64          702.08         1064.96
            66028170              21        17.59        23.57          369.39          494.97
            81982758              56        10.68        14.84          598.08          831.04
            38944334              93        13.73        18.51         1276.89         1721.43
            24955147             100        15.08        20.76         1508.00         2076.00
            57667879              22        16.21        22.04          356.62          484.88
            66992188              85        29.40        33.97         2499.00         2887.45
            22442765              20        14.24        18.39          284.80          367.80
            74877073              90        19.64        22.65         1767.60         2038.50
            47553915              25        19.60        25.24          490.00          631.00
            49263193              93        29.39        34.89         2733.27         3244.77
            66314342              42        21.79        27.58          915.18         1158.36
            15963630               5        29.36        32.93          146.80          164.65
            22307784              99        14.22        19.97         1407.78         1977.03
            21094940              53        12.59        17.31          667.27          917.43
            75268158              29        13.03        18.84          377.87          546.36
            88304184              84        18.55        23.14         1558.20         1943.76
            67317709              16        10.27        15.03          164.32          240.48
            26383509              27        22.91        27.15          618.57          733.05
            78039357              82        16.45        22.40         1348.90         1836.80
            43051474              81        20.39        25.20         1651.59         2041.20
            50295179              88        23.09        28.10         2031.92         2472.80
            32913509              42        11.94        16.43          501.48          690.06
            24467721               3        15.72        21.71           47.16           65.13
            39458442              23        20.49        26.06          471.27          599.38
            23026496              35        20.95        24.90          733.25          871.50
            32216703              97        23.12        28.83         2242.64         2796.51
            76147512              40        24.26        27.40          970.40         1096.00
            74497902              82        20.00        23.21         1640.00         1903.22
            83234292              26        23.80        29.24          618.80          760.24
            53972005              43        22.81        28.51          980.83         1225.93
            35342162              75        29.91        34.65         2243.25         2598.75
            79170842              16        29.59        34.75          473.44          556.00
            84623811               2        15.66        20.90           31.32           41.80
            86578282              36        29.59        33.51         1065.24         1206.36
            29691501              57        22.78        28.28         1298.46         1611.96
            14698138              39        15.68        21.08          611.52          822.12
